epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,801.918,0.85887,0.56904,1.04569,0.99337,0.98611,0.99152,0.71698,1.01131,0.46081,1.14849,0.000473839,0.000473839,0.000473839
2,1570.53,0.92719,0.63303,1.06674,0.98355,0.97885,0.9887,0.71577,1.01796,0.51477,1.1708,0.000936735,0.000936735,0.000936735
3,2338.31,1.00007,0.70171,1.10164,0.96884,0.97817,0.9875,0.71417,1.00829,0.50293,1.13334,0.00138616,0.00138616,0.00138616
4,3107.43,1.02813,0.72629,1.11002,0.95364,0.96127,0.97189,0.67598,1.08524,0.56975,1.20997,0.00136837,0.00136837,0.00136837
5,3879.55,1.01788,0.72091,1.10701,0.95564,0.96762,0.97978,0.68242,1.02521,0.54714,1.18085,0.00134816,0.00134816,0.00134816
6,4668.22,1.01657,0.71346,1.10348,0.97167,0.98958,0.98325,0.67759,1.10922,0.56557,1.20194,0.00132795,0.00132795,0.00132795
7,5718.91,0.99699,0.69305,1.09647,0.96821,0.97917,0.98376,0.7023,1.03593,0.51673,1.17192,0.00130774,0.00130774,0.00130774
8,6739.13,1.02235,0.68973,1.11078,0.97888,0.97917,0.97995,0.70124,1.02192,0.53967,1.14394,0.00128753,0.00128753,0.00128753
9,7588.69,0.97399,0.65981,1.0899,0.97478,0.98264,0.98699,0.71482,1.02225,0.4876,1.13889,0.00126732,0.00126732,0.00126732
10,8691.94,0.97304,0.64847,1.08781,0.94748,0.95572,0.98336,0.70376,1.02613,0.50456,1.14705,0.00124711,0.00124711,0.00124711
11,10230.6,0.98971,0.65559,1.09687,0.96988,0.97917,0.98336,0.72549,1.03211,0.49123,1.15936,0.0012269,0.0012269,0.0012269
12,11443,0.95833,0.64624,1.07656,0.98499,0.9796,0.98854,0.71895,0.9962,0.50176,1.12345,0.00120669,0.00120669,0.00120669
13,12280.5,0.95045,0.61471,1.07531,0.97402,0.9684,0.98354,0.70286,1.05477,0.50072,1.16552,0.00118648,0.00118648,0.00118648
14,13120.3,0.94048,0.62399,1.06803,0.95968,0.96927,0.98621,0.71391,1.02292,0.49911,1.13154,0.00116627,0.00116627,0.00116627
15,13965.6,0.92515,0.61079,1.06989,0.97946,0.97917,0.98572,0.7283,1.01314,0.46836,1.12862,0.00114606,0.00114606,0.00114606
